Date,Close,High,Low,Open,Volume,EMA_10,EMA_20,EMA_50,RS_NIFTY,Sector,RS_Sector
2006-09-26,32.29033660888672,35.166703437002575,30.014255916843734,30.014255916843734,37912560,32.29033660888672,32.29033660888672,32.29033660888672,,Capital Goods,
2006-09-27,33.57429122924805,34.18291345297924,31.890157062840387,32.51545426015098,15873845,32.52378290349787,32.41261800130208,32.340687770469515,,Capital Goods,
2006-09-28,34.83321762084961,36.76746981355579,33.69934498779585,34.14955968275996,29829885,32.94368012483454,32.64315129840185,32.438434039111876,,Capital Goods,
2006-09-29,34.68314743041992,35.47519112581904,34.274621738759585,34.98329057229123,6685010,33.25994690766825,32.837436644308326,32.526462015241606,,Capital Goods,
2006-10-03,33.52425765991211,34.96660910795919,33.3575111475614,34.849887503441245,2439370,33.308003408076225,32.90284816960392,32.56559125620908,,Capital Goods,
2006-10-04,32.39872360229492,33.99948245498524,32.190291261240965,33.76603925074085,3336005,33.142679807025075,32.854836306050686,32.55904742664382,,Capital Goods,
2006-10-05,33.59096145629883,34.58309839088562,32.68219619740232,32.732217930646264,5176935,33.22418556143848,32.924943463217176,32.59951464349304,,Capital Goods,
2006-10-06,32.59882736206055,33.8160750427644,32.5154556709721,33.8160750427644,1520235,33.11048407064249,32.893884786916544,32.59948769128,,Capital Goods,
2006-10-09,36.18385696411133,37.401101115791626,32.015209994993675,32.59881802632996,23530745,33.669279142182276,33.207215470458905,32.74005119217534,,Capital Goods,
2006-10-10,35.575233459472656,37.58452445072757,35.19171868273268,36.02544811760676,14137605,34.01581629078053,33.43274099322212,32.85123481050073,,Capital Goods,
2006-10-11,34.99995803833008,36.75912749112759,34.616443297268326,35.850362364439896,9157495,34.19475115397135,33.58199975942288,32.93549846649404,,Capital Goods,
2006-10-12,36.38396072387695,36.95923620688851,34.72484053302827,35.30011283561368,13822905,34.59278925759055,33.848853184608984,33.070732280509056,,Capital Goods,
2006-10-13,38.6933822631836,40.15240874849282,37.18433086771065,37.18433086771065,31494630,35.338351622243835,34.310236906377995,33.291228358261,,Capital Goods,
2006-10-16,37.31772994995117,39.21863531810283,36.99257596314808,38.86013138895441,9507530,35.698238590917896,34.59666481528973,33.44913038146454,,Capital Goods,
2006-10-17,39.26031494140625,40.92777362962835,36.94254838251355,37.65955294689201,22703695,36.34588883646123,35.040821970157964,33.67701997205049,,Capital Goods,
2006-10-18,39.5521240234375,41.35297951097014,38.51830128489725,39.018537683490855,13813000,36.92884068863873,35.47046978475602,33.90741620935978,,Capital Goods,
2006-10-19,39.302005767822266,40.76103230545927,38.70171954602976,39.82725621189071,6213580,37.36032524849028,35.83537797361947,34.118968741064194,,Capital Goods,
2006-10-20,39.60215377807617,40.38585841315216,39.285335657332325,39.677189565083246,4910145,37.76793043568771,36.19411852642487,34.33399560526074,,Capital Goods,
2006-10-23,39.11024475097656,40.1857564051946,38.69338006457501,39.3520270323915,2713560,38.01198758392204,36.47184483352503,34.52129949332802,,Capital Goods,
