Date,Close,High,Low,Open,Volume,EMA_10,EMA_20,EMA_50,RS_NIFTY,Sector,RS_Sector
2010-10-29,125.26318359375,149.59568282535903,123.63916320191971,136.04669815701402,3961456,125.26318359375,125.26318359375,125.26318359375,,Financial Services,
2010-11-01,125.56015014648438,129.699088935509,124.910537495891,125.46734406213372,882315,125.31717751242897,125.29146612258185,125.27482934091606,,Financial Services,
2010-11-02,125.1889419555664,127.1284835987126,125.0961433553089,125.2817405558239,1527592,125.29386195663577,125.28170191619944,125.27146120815725,,Financial Services,
2010-11-03,125.3559799194336,128.99379271672947,125.28173655062191,128.99379271672947,1247589,125.3051561316899,125.28877601174554,125.27477566742299,,Financial Services,
2010-11-04,124.99405670166016,126.2097572217239,123.61131421910272,126.2097572217239,3013130,125.24859259895722,125.26070750602312,125.26376708053033,,Financial Services,
2010-11-08,124.16812896728516,126.1726401346568,124.16812896728516,125.31886755271752,1998245,125.05214466592592,125.15665240709569,125.22080088001093,,Financial Services,
2010-11-09,124.17741394042967,125.09614856410184,123.98252788981578,124.3630186336383,2614154,124.8931027158357,125.06339160074654,125.1798837451254,,Financial Services,
2010-11-10,124.35372924804688,124.68781318327478,124.18668728043292,124.44652784617736,1093221,124.79503481260136,124.99580471001325,125.1474855295537,,Financial Services,
2010-11-11,125.95919799804688,127.12848431981298,124.186690831324,125.27246739434308,3970294,125.00670084631872,125.08755645173073,125.17931739106325,,Financial Services,
2010-11-12,127.14706420898438,128.05651756539078,125.30960226448762,126.2097817475352,1347852,125.39585782134883,125.28370004765965,125.25648393294252,,Financial Services,
2010-11-15,130.4785919189453,132.14901128213546,129.27216545947948,129.91250410948135,1259641,126.31999129363908,125.77845165444876,125.46127248141322,,Financial Services,
2010-11-16,130.58065795898438,131.77778796606256,129.17935313208176,131.77778796606256,1256702,127.09465796006549,126.2358046358331,125.66203269621992,,Financial Services,
2010-11-18,126.9336166381836,132.14905114244485,126.20977551409835,132.14905114244485,661620,127.06537771972332,126.30226292177124,125.71189873315969,,Financial Services,
2010-11-19,127.62958526611328,129.9032177718286,127.15629605554774,129.9032177718286,1060047,127.16796090997603,126.42867457361335,125.78710212660886,,Financial Services,
2010-11-22,128.7525177001953,129.92181904158682,125.83856067411386,125.83856067411386,744904,127.45606214456134,126.64999296662116,125.90339293341617,,Financial Services,
2010-11-23,124.07533264160156,128.9938008213757,117.1245166707398,128.62259143895938,922446,126.8413840531141,126.4047872213812,125.83170429452149,,Financial Services,
2010-11-24,99.09781646728516,123.45456244045798,99.09781646728516,123.45456244045798,5123838,121.79709903750881,123.80412334003871,124.78331653659066,,Financial Services,
